fecha,consumo_electrodomesticos,temperatura_zona_1,humedad_zona_1,temperatura_exterior,presion_atmosferica,humedad_exterior,velocidad_viento,punto_rocio
2016-01-11 17:00:00,60,19.89,47.59666666666671,6.6,733.5,92.0,7.0,5.3
2016-01-11 17:10:00,60,19.89,46.69333333333329,6.48333333333333,733.6,92.0,6.66666666666667,5.2
2016-01-11 17:20:00,50,19.89,46.3,6.36666666666667,733.7,92.0,6.3333333333333295,5.1
2016-01-11 17:30:00,50,19.89,46.0666666666667,6.25,733.7999999999998,92.0,6.0,5.0
2016-01-11 17:40:00,60,19.89,46.33333333333329,6.133333333333329,733.9,92.0,5.66666666666667,4.9
2016-01-11 17:50:00,50,19.89,46.0266666666667,6.01666666666667,734.0,92.0,5.3333333333333295,4.8
2016-01-11 18:00:00,60,19.89,45.7666666666667,5.9,734.1,92.0,5.0,4.7
2016-01-11 18:10:00,60,19.8566666666667,45.56,5.91666666666667,734.1666666666669,91.8333333333333,5.16666666666667,4.68333333333333
2016-01-11 18:20:00,60,19.79,45.5975,5.93333333333333,734.233333333333,91.6666666666667,5.3333333333333295,4.66666666666667
2016-01-11 18:30:00,70,19.8566666666667,46.09,5.95,734.2999999999998,91.5,5.5,4.65
2016-01-11 18:40:00,230,19.9266666666667,45.863333333333294,5.96666666666667,734.366666666667,91.3333333333333,5.66666666666667,4.633333333333329
2016-01-11 18:50:00,580,20.066666666666695,46.3966666666667,5.98333333333333,734.4333333333329,91.1666666666667,5.8333333333333295,4.61666666666667
2016-01-11 19:00:00,430,20.1333333333333,48.0,6.0,734.5,91.0,6.0,4.6
2016-01-11 19:10:00,250,20.26,52.7266666666667,6.0,734.616666666667,90.5,6.0,4.51666666666667
2016-01-11 19:20:00,100,20.4266666666667,55.893333333333295,6.0,734.733333333333,90.0,6.0,4.43333333333333
2016-01-11 19:30:00,100,20.566666666666695,53.893333333333295,6.0,734.85,89.5,6.0,4.35
2016-01-11 19:40:00,90,20.73,52.66,6.0,734.966666666667,89.0,6.0,4.26666666666667
2016-01-11 19:50:00,70,20.8566666666667,53.66,6.0,735.0833333333329,88.5,6.0,4.18333333333333
2016-01-11 20:00:00,80,20.89,51.19333333333329,6.0,735.2,88.0,6.0,4.1
2016-01-11 20:10:00,140,20.89,49.8,6.0,735.233333333333,87.8333333333333,6.0,4.06666666666667
2016-01-11 20:20:00,120,20.89,48.433333333333294,6.0,735.266666666667,87.6666666666667,6.0,4.03333333333333
2016-01-11 20:30:00,190,20.963333333333296,47.6333333333333,6.0,735.2999999999998,87.5,6.0,4.0
2016-01-11 20:40:00,110,21.033333333333296,47.0633333333333,6.0,735.3333333333329,87.3333333333333,6.0,3.9666666666666694
2016-01-11 20:50:00,110,21.1,46.59666666666671,6.0,735.366666666667,87.1666666666667,6.0,3.9333333333333296
2016-01-11 21:00:00,110,21.1333333333333,46.06,6.0,735.4,87.0,6.0,3.9
2016-01-11 21:10:00,110,21.2,45.8,5.93333333333333,735.466666666667,87.1666666666667,6.0,3.86666666666667
2016-01-11 21:20:00,100,21.29,45.9,5.86666666666667,735.533333333333,87.3333333333333,6.0,3.8333333333333295
2016-01-11 21:30:00,100,21.3566666666667,45.8266666666667,5.8,735.6,87.5,6.0,3.8
2016-01-11 21:40:00,100,21.39,45.69,5.73333333333333,735.6666666666669,87.6666666666667,6.0,3.7666666666666706
2016-01-11 21:50:00,100,21.5,45.33333333333329,5.66666666666667,735.733333333333,87.8333333333333,6.0,3.7333333333333294
2016-01-11 22:00:00,110,21.5,45.1266666666667,5.6,735.7999999999998,88.0,6.0,3.7
2016-01-11 22:10:00,400,21.533333333333296,44.9666666666667,5.65,735.8833333333331,87.8333333333333,6.16666666666667,3.7166666666666694
2016-01-11 22:20:00,400,21.6,44.7666666666667,5.7,735.966666666667,87.6666666666667,6.3333333333333295,3.7333333333333294
2016-01-11 22:30:00,390,21.6,44.56,5.75,736.0499999999998,87.5,6.5,3.75
2016-01-11 22:40:00,240,21.6,44.36,5.8,736.1333333333331,87.3333333333333,6.66666666666667,3.7666666666666706
2016-01-11 22:50:00,60,21.6,44.2,5.85,736.216666666667,87.1666666666667,6.8333333333333295,3.7833333333333297
2016-01-11 23:00:00,60,21.6,44.2,5.9,736.2999999999998,87.0,7.0,3.8
2016-01-11 23:10:00,60,21.6,44.2,5.8,736.4,87.8333333333333,6.8333333333333295,3.85
2016-01-11 23:20:00,50,21.6,44.2,5.7,736.5,88.6666666666667,6.66666666666667,3.9
2016-01-11 23:30:00,70,21.5,44.23,5.6,736.6,89.5,6.5,3.95
2016-01-11 23:40:00,60,21.5,44.363333333333294,5.5,736.7,90.3333333333333,6.3333333333333295,4.0
2016-01-11 23:50:00,40,21.39,44.433333333333294,5.4,736.7999999999998,91.1666666666667,6.16666666666667,4.05
2016-01-12 00:00:00,40,21.39,44.56,5.3,736.9,92.0,6.0,4.1
2016-01-12 00:10:00,30,21.29,44.8266666666667,5.26666666666667,737.0,92.0,6.0,4.06666666666667
2016-01-12 00:20:00,40,21.29,44.9666666666667,5.23333333333333,737.1,92.0,6.0,4.03333333333333
2016-01-12 00:30:00,50,21.26,45.09,5.2,737.2,92.0,6.0,4.0
2016-01-12 00:40:00,310,21.2,45.09,5.16666666666667,737.2999999999998,92.0,6.0,3.9666666666666694
2016-01-12 00:50:00,380,21.1666666666667,45.23,5.133333333333329,737.4,92.0,6.0,3.9333333333333296
2016-01-12 01:00:00,380,21.075,45.3725,5.1,737.5,92.0,6.0,3.9
2016-01-12 01:10:00,370,21.0,45.4,5.11666666666667,737.6333333333331,92.0,5.8333333333333295,3.9166666666666705
2016-01-12 01:20:00,120,21.0,45.59,5.133333333333329,737.766666666667,92.0,5.66666666666667,3.9333333333333296
2016-01-12 01:30:00,50,20.9266666666667,45.59,5.15,737.9,92.0,5.5,3.95
2016-01-12 01:40:00,40,20.89,45.66666666666671,5.16666666666667,738.033333333333,92.0,5.3333333333333295,3.9666666666666694
2016-01-12 01:50:00,50,20.89,46.06,5.18333333333333,738.1666666666669,92.0,5.16666666666667,3.9833333333333294
2016-01-12 02:00:00,40,20.79,46.2,5.2,738.2999999999998,92.0,5.0,4.0
2016-01-12 02:10:00,50,20.79,46.2,5.133333333333329,738.4,92.0,4.8333333333333295,3.9333333333333296
2016-01-12 02:20:00,50,20.7,46.26,5.06666666666667,738.5,92.0,4.66666666666667,3.86666666666667
2016-01-12 02:30:00,50,20.7,46.2,5.0,738.6,92.0,4.5,3.8
2016-01-12 02:40:00,40,20.6,46.2,4.93333333333333,738.7,92.0,4.3333333333333295,3.7333333333333294
2016-01-12 02:50:00,40,20.6,46.1266666666667,4.86666666666667,738.7999999999998,92.0,4.16666666666667,3.6666666666666705
2016-01-12 03:00:00,30,20.566666666666695,46.0666666666667,4.8,738.9,92.0,4.0,3.6
2016-01-12 03:10:00,20,20.5,46.2,4.81666666666667,739.016666666667,92.1666666666667,4.3333333333333295,3.6333333333333298
2016-01-12 03:20:00,20,20.5,46.29,4.8333333333333295,739.1333333333331,92.3333333333333,4.66666666666667,3.6666666666666705
2016-01-12 03:30:00,40,20.4266666666667,46.23,4.85,739.25,92.5,5.0,3.7
2016-01-12 03:40:00,50,20.39,46.29,4.86666666666667,739.366666666667,92.6666666666667,5.3333333333333295,3.7333333333333294
2016-01-12 03:50:00,50,20.39,46.363333333333294,4.883333333333329,739.483333333333,92.8333333333333,5.66666666666667,3.7666666666666706
2016-01-12 04:00:00,40,20.29,46.5,4.9,739.6,93.0,6.0,3.8
2016-01-12 04:10:00,50,20.29,46.545,4.91666666666667,739.65,92.6666666666667,5.8333333333333295,3.7666666666666706
2016-01-12 04:20:00,40,20.23,46.5,4.93333333333333,739.7,92.3333333333333,5.66666666666667,3.7333333333333294
2016-01-12 04:30:00,40,20.2,46.433333333333294,4.95,739.75,92.0,5.5,3.7
2016-01-12 04:40:00,40,20.2,46.56,4.96666666666667,739.7999999999998,91.6666666666667,5.3333333333333295,3.6666666666666705
2016-01-12 04:50:00,60,20.1666666666667,46.363333333333294,4.98333333333333,739.85,91.3333333333333,5.16666666666667,3.6333333333333298
2016-01-12 05:00:00,50,20.1,46.363333333333294,5.0,739.9,91.0,5.0,3.6
2016-01-12 05:10:00,50,20.1,46.5,4.98333333333333,739.966666666667,91.6666666666667,4.8333333333333295,3.6833333333333296
2016-01-12 05:20:00,40,20.033333333333296,46.36,4.96666666666667,740.033333333333,92.3333333333333,4.66666666666667,3.7666666666666706
2016-01-12 05:30:00,40,20.0,46.29,4.95,740.1,93.0,4.5,3.85
2016-01-12 05:40:00,40,20.0,46.29,4.93333333333333,740.1666666666669,93.6666666666667,4.3333333333333295,3.9333333333333296
2016-01-12 05:50:00,40,20.0,46.23,4.91666666666667,740.233333333333,94.3333333333333,4.16666666666667,4.01666666666667
2016-01-12 06:00:00,50,19.9266666666667,46.23,4.9,740.2999999999998,95.0,4.0,4.1
2016-01-12 06:10:00,70,19.89,46.23,4.93333333333333,740.4333333333329,94.6666666666667,4.16666666666667,4.1
2016-01-12 06:20:00,40,19.89,46.43,4.96666666666667,740.5666666666668,94.3333333333333,4.3333333333333295,4.1
2016-01-12 06:30:00,30,19.89,46.6266666666667,5.0,740.7,94.0,4.5,4.1
2016-01-12 06:40:00,20,19.89,46.7,5.03333333333333,740.8333333333329,93.6666666666667,4.66666666666667,4.1
2016-01-12 06:50:00,30,19.89,46.863333333333294,5.06666666666667,740.966666666667,93.3333333333333,4.8333333333333295,4.1
2016-01-12 07:00:00,40,19.823333333333295,46.863333333333294,5.1,741.1,93.0,5.0,4.1
2016-01-12 07:10:00,50,19.8566666666667,46.93,5.1,741.216666666667,92.6666666666667,5.0,4.05
2016-01-12 07:20:00,60,19.79,46.79,5.1,741.3333333333329,92.3333333333333,5.0,4.0
2016-01-12 07:30:00,60,19.79,46.895,5.1,741.45,92.0,5.0,3.95
2016-01-12 07:40:00,70,19.79,47.4266666666667,5.1,741.5666666666668,91.6666666666667,5.0,3.9
2016-01-12 07:50:00,60,19.79,48.3666666666667,5.1,741.6833333333329,91.3333333333333,5.0,3.85
2016-01-12 08:00:00,140,19.79,48.66666666666671,5.1,741.7999999999998,91.0,5.0,3.8
2016-01-12 08:10:00,110,19.79,48.533333333333296,5.05,741.8833333333331,91.0,5.0,3.7333333333333294
2016-01-12 08:20:00,90,19.89,50.0,5.0,741.966666666667,91.0,5.0,3.6666666666666705
2016-01-12 08:30:00,60,19.89,48.7333333333333,4.95,742.0499999999998,91.0,5.0,3.6
2016-01-12 08:40:00,60,19.89,48.0266666666667,4.9,742.1333333333331,91.0,5.0,3.53333333333333
2016-01-12 08:50:00,60,19.89,47.6333333333333,4.85,742.216666666667,91.0,5.0,3.4666666666666694
2016-01-12 09:00:00,50,19.8566666666667,47.0633333333333,4.8,742.2999999999998,91.0,5.0,3.4
2016-01-12 09:10:00,60,19.79,46.6566666666667,4.883333333333329,742.3833333333331,91.0,5.0,3.4833333333333294
2016-01-12 09:20:00,50,19.79,46.33333333333329,4.96666666666667,742.466666666667,91.0,5.0,3.56666666666667
2016-01-12 09:30:00,30,19.79,46.0666666666667,5.05,742.5499999999998,91.0,5.0,3.65
2016-01-12 09:40:00,40,19.76,45.863333333333294,5.133333333333329,742.6333333333331,91.0,5.0,3.7333333333333294
2016-01-12 09:50:00,30,19.7,45.79,5.21666666666667,742.716666666667,91.0,5.0,3.8166666666666704
2016-01-12 10:00:00,260,19.7,45.6633333333333,5.3,742.7999999999998,91.0,5.0,3.9
2016-01-12 10:10:00,500,19.7,45.59,5.48333333333333,742.8833333333331,90.1666666666667,5.0,3.95
2016-01-12 10:20:00,450,19.73,47.793333333333294,5.66666666666667,742.966666666667,89.3333333333333,5.0,4.0
2016-01-12 10:30:00,50,19.79,48.793333333333294,5.85,743.0499999999998,88.5,5.0,4.05
2016-01-12 10:40:00,60,19.89,47.94,6.03333333333333,743.1333333333331,87.6666666666667,5.0,4.1
2016-01-12 10:50:00,60,19.89,47.16,6.21666666666667,743.216666666667,86.8333333333333,5.0,4.15
2016-01-12 11:00:00,50,19.89,46.7666666666667,6.4,743.2999999999998,86.0,5.0,4.2
2016-01-12 11:10:00,50,20.0,46.2966666666667,6.5,743.3333333333329,85.1666666666667,5.3333333333333295,4.16666666666667
2016-01-12 11:20:00,50,20.0,45.963333333333296,6.6,743.366666666667,84.3333333333333,5.66666666666667,4.133333333333329
2016-01-12 11:30:00,60,20.0,46.223333333333294,6.7,743.4,83.5,6.0,4.1
